fold,label,n_gold,n_studies,n_positive,prevalence,n_studies_total_in_fold
0,ACL,12,12,3,0.25,882
0,MCL,12,12,1,0.083333,882
0,Medial Meniscus,12,12,4,0.333333,882
0,Lateral Meniscus,12,12,4,0.333333,882
0,Medial OA,12,12,3,0.25,882
0,Lateral OA,12,12,3,0.25,882
0,PF OA,12,12,5,0.416667,882
0,Effusion,12,12,6,0.5,882
0,Synovitis,12,12,5,0.416667,882
0,Baker's,12,12,3,0.25,882
0,Contusion,12,12,5,0.416667,882
0,Fracture,12,12,3,0.25,882
1,ACL,12,12,5,0.416667,882
1,MCL,12,12,2,0.166667,882
1,Medial Meniscus,12,12,7,0.583333,882
1,Lateral Meniscus,12,12,4,0.333333,882
1,Medial OA,12,12,3,0.25,882
1,Lateral OA,12,12,2,0.166667,882
1,PF OA,12,12,4,0.333333,882
1,Effusion,12,12,6,0.5,882
1,Synovitis,12,12,6,0.5,882
1,Baker's,12,12,2,0.166667,882
1,Contusion,12,12,4,0.333333,882
1,Fracture,12,12,3,0.25,882
2,ACL,12,12,5,0.416667,881
2,MCL,12,12,2,0.166667,881
2,Medial Meniscus,12,12,6,0.5,881
2,Lateral Meniscus,12,12,4,0.333333,881
2,Medial OA,12,12,3,0.25,881
2,Lateral OA,12,12,2,0.166667,881
2,PF OA,12,12,4,0.333333,881
2,Effusion,12,12,6,0.5,881
2,Synovitis,12,12,5,0.416667,881
2,Baker's,12,12,3,0.25,881
2,Contusion,12,12,3,0.25,881
2,Fracture,12,12,3,0.25,881
3,ACL,11,11,4,0.363636,881
3,MCL,11,11,2,0.181818,881
3,Medial Meniscus,11,11,3,0.272727,881
3,Lateral Meniscus,11,11,5,0.454545,881
3,Medial OA,11,11,3,0.272727,881
3,Lateral OA,11,11,2,0.181818,881
3,PF OA,11,11,4,0.363636,881
3,Effusion,11,11,8,0.727273,881
3,Synovitis,11,11,5,0.454545,881
3,Baker's,11,11,2,0.181818,881
3,Contusion,11,11,3,0.272727,881
3,Fracture,11,11,3,0.272727,881
4,ACL,11,11,7,0.636364,881
4,MCL,11,11,2,0.181818,881
4,Medial Meniscus,11,11,6,0.545455,881
4,Lateral Meniscus,11,11,6,0.545455,881
4,Medial OA,11,11,3,0.272727,881
4,Lateral OA,11,11,2,0.181818,881
4,PF OA,11,11,4,0.363636,881
4,Effusion,11,11,9,0.818182,881
4,Synovitis,11,11,6,0.545455,881
4,Baker's,11,11,2,0.181818,881
4,Contusion,11,11,4,0.363636,881
4,Fracture,11,11,6,0.545455,881
ALL,ACL,58,58,24,0.413793,4407
ALL,MCL,58,58,9,0.155172,4407
ALL,Medial Meniscus,58,58,26,0.448276,4407
ALL,Lateral Meniscus,58,58,23,0.396552,4407
ALL,Medial OA,58,58,15,0.258621,4407
ALL,Lateral OA,58,58,11,0.189655,4407
ALL,PF OA,58,58,21,0.362069,4407
ALL,Effusion,58,58,35,0.603448,4407
ALL,Synovitis,58,58,27,0.465517,4407
ALL,Baker's,58,58,12,0.206897,4407
ALL,Contusion,58,58,19,0.327586,4407
ALL,Fracture,58,58,18,0.310345,4407
